date,rate
2011-01-01,6.50
2011-03-17,6.75
2011-05-03,7.25
2011-06-16,7.50
2011-07-26,8.00
2011-10-25,8.50
2012-04-17,8.00
2012-06-18,7.75
2012-10-30,7.50
2013-01-29,7.75
2013-03-19,7.50
2013-05-03,7.25
2013-09-20,7.50
2014-01-28,8.00
2014-09-30,8.00
2015-01-15,7.75
2015-02-04,7.75
2015-03-04,7.50
2015-06-02,7.25
2015-09-29,6.75
2016-04-05,6.50
2016-10-04,6.25
2017-08-02,6.00
2018-06-06,6.25
2018-08-01,6.50
2019-02-07,6.25
2019-04-04,6.00
2019-06-06,5.75
2019-08-07,5.40
2019-10-04,5.15
2020-03-27,4.40
2020-05-22,4.00
2022-05-04,4.40
2022-06-08,4.90
2022-08-05,5.40
2022-09-30,5.90
2022-12-07,6.25
2023-02-08,6.50
2023-04-06,6.50
2023-06-08,6.50
2023-08-10,6.50
2023-10-06,6.50
2023-12-08,6.50
2024-02-08,6.50
2024-04-05,6.50
2024-06-07,6.50
2024-08-08,6.50
2024-10-09,6.50
2024-12-06,6.50
2025-02-07,6.25
2025-04-09,6.00
2025-06-06,5.75
